,Instagram Name,Actual Followers (Log),Predicted Followers (Log)
0,906,17.335971360453247,16.73537420885511
1,375,16.3727378693319,17.228952385533173
2,442,16.915602846842507,18.430533739271052
3,889,18.5759736283584,17.791256083852414
4,492,17.33892557235068,18.112332263962994
5,383,16.933460464242515,16.474283272104074
6,916,16.364955728889846,16.97161469883632
7,160,16.951004773893423,17.210896704428833
8,765,16.249123913364723,17.04554768184912
9,925,15.907374619642667,16.682577908067927
10,379,16.929025867174648,16.7442495650828
11,402,16.780783624033557,16.69161543520419
12,571,16.888203872654394,17.22953161277011
13,266,16.711422496236054,16.59335639761726
14,58,15.520258650202699,17.626083840581153
15,472,16.985196138641705,16.562279749034836
16,242,16.02378497148708,16.589444996515713
17,498,18.574259831880667,16.868910400732716
18,514,15.919644712234481,16.834940933228047
19,203,19.854812434486416,18.680290469081033
20,89,17.14771506813948,16.895868387068873
21,534,16.166885815127753,17.041093417924948
22,537,17.1296965626368,16.77411692368747
23,363,16.283610089435893,17.003527850965714
24,82,16.185754299432134,17.145786525847186
25,684,19.157366226526793,17.19245809577795
26,35,16.924571516825267,17.185764943705713
27,42,15.732433170146335,16.689003133997677
28,621,17.136942971157566,17.275751164134505
29,85,17.126053571358298,17.107852738620313
30,824,16.98098560610536,18.670310110836446
31,384,16.012735135300492,16.968767437535927
32,389,16.41076526492114,16.45131042589501
33,910,16.283610089435893,16.760853837277285
34,861,16.08763644347361,16.337770840843913
35,287,16.801192495664765,16.91052349812406
36,351,16.3727378693319,18.485623819400516
37,96,16.40327459319198,16.94709009296188
38,294,18.489273535417976,16.568318836486952
39,814,19.54625948085029,18.559616233066183
40,699,17.588271496058912,16.75914805152055
41,669,16.432906390798355,17.119724458638075
42,878,17.768675506723596,17.107819355782777
43,92,16.883563493097892,17.113807119665122
44,605,16.562781472219765,16.830784578736335
45,650,16.056220247240233,16.57531988643793
46,344,16.325109820342647,16.845491793280488
47,733,17.088874568116545,17.056102359568396
48,604,17.18967926723851,16.67514676182262
49,163,16.195056692094447,16.191454660393685
50,935,15.444751097694555,17.028571468854224
51,776,15.955576721460545,16.78371359599679
52,774,15.623799329143539,16.853254605860652
53,118,16.195056692094447,16.71610391640661
54,737,16.636889444373487,17.09225308431383
55,388,20.004185274359962,16.567043553102515
56,519,18.142288718407677,18.80995032182663
57,372,18.661271208870296,17.987885997915043
58,311,18.159315979817958,16.942123683720126
59,143,16.98098560610536,17.166506909684475
60,353,16.292048958081757,16.91676125580286
61,106,17.23323724157764,16.71526401776653
62,796,17.11504428584993,17.478652393429133
63,53,15.717618084361195,16.649178908867885
64,520,17.26866767855714,16.909686252081357
65,222,16.02378497148708,16.529632620783627
66,725,15.919644712234481,16.67333108371013
67,651,16.222455666282563,17.07471803109264
68,270,17.20328491929429,17.145340977181558
69,420,16.325109820342647,16.966890985252352
70,870,16.266515656076592,16.83556983887456
71,370,15.590462908875947,17.47902210889498
72,249,16.660419941783683,17.478652393429133
73,528,16.461685355348397,16.735785938814608
74,556,16.929025867174648,16.506912942031235
75,161,17.924743732680124,17.567954937876
76,229,17.99756070060548,16.563813413402727
77,133,18.43753786101879,18.168817298349623
78,324,16.44739939810092,16.826285798199226
79,197,16.549878067383858,16.348034273546364
80,676,18.963005034777726,17.287206918923435
81,552,16.791040124200745,17.25904746164786
82,627,16.711422496236054,17.00954130670617
83,750,16.94227109392467,16.95660001639249
84,934,17.52664062101303,16.611278579954043
85,661,17.631022663011578,17.777585495388116
86,452,16.02378497148708,16.729502954795624
87,984,15.150511624696614,16.721562774132835
88,561,16.716932152047026,16.893226839861843
89,360,17.550796384892365,17.047105272620986
90,607,17.40180342330311,16.756923956025826
91,304,16.176364559082295,16.611873443815362
92,305,16.536805985816503,17.20558539549284
93,611,16.549878067383858,17.026437006665045
94,805,16.496532086678563,16.693895202681794
95,744,16.850463544671545,16.97069379345261
96,522,16.636889444373487,16.729284592046717
97,995,18.728900467621695,18.729935275978647
98,515,16.283610089435893,16.91668935575819
99,79,16.249123913364723,16.674754980343412
100,940,16.575520497997196,16.832168229461345
101,820,17.299822846336937,17.88502241062987
102,400,16.3957273875566,16.751296180979832
103,81,17.86729550576758,17.478652393429133
104,241,16.1573163641116,16.79656886649216
105,863,16.012735135300492,16.98660255634045
106,993,16.955343175492022,16.482533882550246
107,98,16.660419941783683,16.73790382142841
108,590,15.60727002719233,16.583126198337368
109,811,15.761420707019587,16.9457841503032
110,628,16.496532086678563,17.290271383484452
111,349,16.796129193708218,17.178747720146344
112,869,16.51687177091569,17.361319269046216
113,591,16.108045315104818,17.316725122891025
114,894,15.590462908875947,17.279758326912344
115,667,16.42558035070628,16.869881448165803
116,791,17.86729550576758,18.71220748254845
117,529,15.907374619642667,16.50645028113511
118,437,16.556350581889475,16.879623174513295
119,64,16.349207371921707,16.424393983497055
120,240,17.038378404102012,16.83468621472521
121,896,17.622173047734595,17.36218629959705
122,279,16.689075197544057,16.46022828889845
123,819,18.026155575882534,16.76008198547109
124,664,15.520258650202699,16.340301510683307
125,721,16.90199719478673,16.76361990617064
126,782,16.3957273875566,16.84967050127228
127,994,16.612791892794426,17.120934082442766
128,640,16.51687177091569,16.655553321938783
129,496,16.630919277386983,16.872841844956962
130,45,16.600521800202614,17.03916754077955
131,43,16.68340946000838,17.079224544771442
132,274,16.600521800202614,16.931851679724478
133,441,17.639794649084415,17.10268244883819
134,584,16.569171270318538,16.84530360115155
135,825,15.590462908875947,16.443446481684134
